season,site,niche,quad,blank_corrected_ppm,dry_mass,sample_area_cm2,sample_depth_cm,moist
fall,FounEast,Moss,6,-2.6323496,0.54,4.909,2,35.185
spring,FounEast,Soil,SW,0.938077333,13.61,4.909,2,35.15
fall,FirLopSo,Lichen,5,-8.3723312,2.96,4.909,2,35.135
fall,GravPit,Moss,1,-2.5651976,1.74,4.909,2,34.483
summer_wet,FounEast,Moss,SW,0.417534,0.544,4.909,2,34.191
spring,BiscBas,Soil,NW,1.029185333,14.09,4.909,2,34.07
spring,GravPit,Litter,SW,-0.250036667,0.78,4.909,2,33.33
summer_wet,GibFalls,Moss,NE,2.107766,2.59,4.909,2,33.205
summer_wet,GibFalls,Litter,SW,-1.778208,0.707,4.909,2,32.956
fall,BiscBas,Wood,6,-3.925312,0.7,4.909,2,32.857
summer_wet,FirLopSo,Moss,SW,6.055246,2.32,4.909,2,32.759
spring,FounEast,Litter,NW,0.269687333,0.96,4.909,2,32.29
fall,FirLopSo,Wood,4,-3.63,1.21,4.909,2,32.231
summer_wet,FounEast,Soil,SW,-1.355072,9.37,4.909,2,32.231
summer_wet,GravPit,Soil,SE,-0.424696,7.61,4.909,2,31.932
summer_wet,GibFalls,Lichen,NW,5.567701333,1.42,4.909,2,31.69
fall,FounEast,Lichen,6,-7.7673752,0.39,4.909,2,30.769
summer_wet,GibFalls,Wood,NE,0.339818667,2.02,4.909,2,30.693
summer_wet,FounEast,Soil,NE,1.179552,7.67,4.909,2,30.378
fall,FounEast,Litter,2,-1.9901048,0.91,4.909,2,29.67
spring,GravPit,Soil,NW,0.803057333,11.97,4.909,2,29.51
summer_wet,FounEast,Soil,SE,-0.589608,5.23,4.909,2,29.446
spring,FirLopSo,Litter,SW,-0.515036667,0.85,4.909,2,29.41
summer_wet,BiscBas,Lichen,SE,-1.716530667,2.91,4.909,2,29.21
fall,GibFalls,Moss,2,-1.3218456,4.04,4.909,2,28.713
spring,GibFalls,Litter,NW,0.029259333,1.78,4.909,2,28.65
spring,FounEast,Soil,NW,0.840457333,12.63,4.909,2,28.53
fall,FounEast,Wood,6,-1.50678,2.1,4.909,2,28.095
spring,FirLopSo,Moss,SE,2.293076,3.42,4.909,2,28.07
fall,GibFalls,Wood,7,-3.076612,2.58,4.909,2,27.907
fall,GibFalls,Wood,4,-1.971148,1.96,4.909,2,27.041
spring,GibFalls,Soil,NW,0.295249333,11.48,4.909,2,27.03
fall,FirLopSo,Wood,2,-3.294224,1.3,4.909,2,26.923
summer_wet,FounEast,Soil,6,-1.752776,7.28,4.909,2,26.923
spring,FirLopSo,Moss,SW,1.415916,3.07,4.909,2,26.71
summer_wet,BiscBas,Moss,SE,-0.760778,3.17,4.909,2,26.498
summer_wet,FounEast,Lichen,SW,1433.840693,1.46,4.909,2,26.027
fall,FounEast,Soil,7,-0.3291112,2.27,4.909,2,25.991
summer_wet,GravPit,Soil,SW,-0.558328,8.19,4.909,2,25.275
fall,FounEast,Soil,5,-1.6775912,3.34,4.909,2,25.15
summer_wet,FirLopSo,Moss,NW,2.41767,1.95,4.909,2,25.128
summer,FounEast,Moss,7,-1.819748,0.04,4.909,2,25
fall,GibFalls,Moss,1,1.9374584,4.14,4.909,2,24.879
fall,FounEast,Litter,5,-3.0657288,1,4.909,2,24
fall,GibFalls,Wood,5,-2.163932,3.14,4.909,2,23.885
summer_wet,BiscBas,Moss,SW,-0.37289,1.61,4.909,2,23.602
spring,GibFalls,Soil,SW,1.909329333,8.46,4.909,2,22.32
fall,FounEast,Litter,8,-1.9282648,0.86,4.909,2,22.093
summer,FounEast,Soil,SE,-2.4289368,6.68,4.909,2,22.006
spring,FirLopSo,Litter,NE,-0.366324667,1.11,4.909,2,21.62
fall,GravPit,Soil,6,-3.1313912,2.23,4.909,2,21.525
fall,FirLopSo,Moss,8,-3.2190656,5.23,4.909,2,20.841
summer_wet,FirLopSo,Soil,SE,-1.365104,7.99,4.909,2,20.776
fall,GravPit,Lichen,1,-8.5466792,2.83,4.909,2,20.495
summer_wet,FirLopSo,Moss,NE,-0.64785,4.15,4.909,2,20.241
spring,GravPit,Soil,NE,0.308753333,15.38,4.909,2,20.05
summer_wet,FirLopSo,Litter,SE,-1.629256,1.25,4.909,2,20
summer_wet,BiscBas,Moss,6,-0.289426,1.66,4.909,2,19.88
summer_wet,FirLopSo,Moss,SE,98.374254,7.7,4.909,2,19.74
summer_wet,GibFalls,Soil,NW,-1.709944,5.18,4.909,2,19.691
fall,BiscBas,Moss,3,0.2054544,4.08,4.909,2,19.608
spring,FirLopSo,Litter,NW,0.036579333,1.28,4.909,2,19.53
summer_wet,GibFalls,Soil,NE,-1.535672,5.49,4.909,2,18.761
summer_wet,FirLopSo,Soil,NE,-1.143376,11.04,4.909,2,18.659
summer_wet,BiscBas,Soil,SE,-0.952872,9.49,4.909,2,18.335
summer_wet,FirLopSo,Soil,SW,-1.199856,11.02,4.909,2,18.058
fall,FounEast,Moss,7,-2.0514056,1.44,4.909,2,18.056
summer_wet,BiscBas,Lichen,NE,41.96784533,5.53,4.909,2,17.902
summer_wet,FirLopSo,Soil,NW,-0.306952,14.6,4.909,2,17.877
fall,GibFalls,Litter,4,-2.3245768,0.97,4.909,2,17.526
summer_wet,GravPit,Soil,6,-1.1418,6.49,4.909,2,17.411
summer_wet,BiscBas,Moss,NE,0.232286,3.5,4.909,2,17.143
spring,GibFalls,Soil,NE,1.091153333,6.19,4.909,2,17.03
fall,BiscBas,Litter,3,-3.0155968,1.14,4.909,2,16.667
summer_wet,GravPit,Soil,NW,-0.855808,11.1,4.909,2,16.396
fall,GravPit,Moss,4,-0.3929816,2.73,4.909,2,16.117
fall,BiscBas,Moss,5,-3.3336656,1.8,4.909,2,16.111
fall,FounEast,Soil,8,-2.2251592,5.64,4.909,2,15.78
summer_wet,GravPit,Soil,NE,-0.659656,22.17,4.909,2,15.336
fall,FounEast,Lichen,1,-7.9235192,0.49,4.909,2,14.286
fall,FounEast,Litter,4,-2.9424328,0.91,4.909,2,14.286
fall,FounEast,Soil,6,-2.2698312,7.93,4.909,2,14.25
fall,FirLopSo,Soil,6,-3.6278112,6.71,4.909,2,14.158
fall,FirLopSo,Lichen,2,-9.0739312,3.15,4.909,2,13.968
fall,GibFalls,Litter,5,-1.5576408,1.01,4.909,2,13.861
fall,BiscBas,Moss,6,-3.1647216,3.47,4.909,2,13.833
summer_wet,GibFalls,Moss,SE,-0.147514,3.967,4.909,2,13.688
summer_wet,BiscBas,Soil,NW,-1.491512,6.66,4.909,2,13.664
fall,BiscBas,Litter,7,-2.8593008,1.11,4.909,2,13.514
fall,FirLopSo,Litter,6,-3.4195808,1.19,4.909,2,13.445
summer,FounEast,Soil,7,-0.9419208,5.95,4.909,2,13.277
fall,FirLopSo,Wood,7,-3.764224,2.19,4.909,2,13.242
fall,FounEast,Moss,2,-2.0402616,2.13,4.909,2,13.146
fall,FounEast,Litter,3,-2.0372808,0.61,4.909,2,13.115
fall,GravPit,Litter,1,-2.2335848,0.92,4.909,2,13.043
fall,FounEast,Soil,1,-2.5466152,3.87,4.909,2,12.92
summer_wet,BiscBas,Lichen,SW,-1.639370667,0.78,4.909,2,12.821
